Id;Lesson;Vocabulary;EnglishDef;Learned;Bookmarked
253;26;Prohibitive;tending to prevent the purchase or use of something; inclined to prevent or forbid;0;0
254;26;Proliferate;increase rapidly in number; multiply.;0;0
255;26;Propensity;an inclination or natural tendency to behave in a particular way.;0;0
256;26;Propitiate;win or regain the favour of (a god, spirit, or person) by doing something that pleases them.;0;0
257;26;Propriety;socially acceptable behavior;0;0
258;26;Proscribe;banish; not to do or use;0;0
259;26;Qualified;competent or knowledgeable to do something; capable.;0;0
260;26;Quibble;minor objection or complaint;0;0
261;27;Quiescent;in a state or period of inactivity or dormancy;0;0
262;27;Rarefied;lower pressure than usual;0;0
263;27;Recalcitrant;given to resisting authority or another's control;0;0
264;27;Recant;to solemnly or formally reject or go back on;0;0
265;27;Recondite;abstruse; profound; secret;0;0
266;27;Refractory;stubborn, unmanageable;0;0
267;27;Refute;prove (a statement or theory) to be wrong or false; disprove.;0;0
268;27;Relegate;banish to an inferior position; delegate;0;0
269;27;Reproach;express disapproval or disappointment;0;0
270;27;Reprobate;person hardened in sin;0;0
271;28;Repudiate;refuse to accept; reject.;0;0
272;28;Rescind;cancel; to put an end to;0;0
273;28;Resolution;a firm decision to do or not to do something.;0;0
274;28;Resolve;settle or find a solution to (a problem or contentious matter).;0;0
275;28;Reticent;not revealing one's thoughts or feelings readily.;0;0
276;28;Reverent;feeling or showing deep and solemn respect.;0;0
277;28;Sage;person celebrated for wisdom (especially in ancient history or legend) a profoundly wise man.;0;0
278;28;Salubrious;health-giving; healthy.;0;0
279;28;Sanction;official permission or approval for an action.;0;0
280;28;Satiate;satisfy fully;0;0
281;29;Saturate;soak thoroughly;0;0
282;29;Savor;have a distinctive flavor, smell, or quality;0;0
283;29;Secrete;to put into a hiding place;0;0
284;29;Shard;a piece of broken ceramic, metal, glass, or rock, typically having sharp edges.;0;0
285;29;Skeptic;doubter; person who suspends judgement until having examined the evidence supporting a point of view;0;0
286;29;Solicitous;characterized by or showing interest or concern.;0;0
287;29;Soporific;sleep-causing; marked by sleepiness;0;0
288;29;Specious;seemingly reasonable but incorrect;0;0
289;29;Spectrum;colored band produced when a beam of light passes through a prism;0;0
290;29;Sporadic;occurring irregualrly;0;0
291;30;Stigma;a mark of guilt or disgrace;0;0
292;30;Stint;limitation of supply or effort.;0;0
293;30;Stipulate;demand or specify (a requirement), typically as part of an agreement.;0;0
294;30;Stolid;calm, dependable, and showing little emotion or animation.;0;0
295;30;Subpoena;a written notice ordering a person to appear in court;0;0
296;30;Subside;become less intense, violent, or severe.;0;0
297;30;Substantiate;provide evidence to support or prove the truth of.;0;0
298;30;Supersede;to take the place of;0;0
299;30;Supposition;a belief held without proof or certain knowledge; an assumption or hypothesis.;0;0
300;30;Tacit;understood or implied without being stated.;0;0
301;31;Tangential;only slightly connected; hardly touching a matter;0;0
302;31;Tenuous;very weak or slight.;0;0
303;31;Tirade;a long, angry speech of criticism or accusation.;0;0
304;31;Torpor;a state of physical or mental inactivity; lethargy.;0;0
305;31;Tortuous;full of twists and turns.;0;0
306;31;Tractable;easy to control or influence.;0;0
307;31;Transgression;violation of law sin;0;0
308;31;Truculence;an inclination to fight or quarrel;0;0
309;31;Vacillate;to show uncertainty about the right course of action;0;0
310;31;Venerate;regard with great respect;0;0
311;32;Veracious;speaking or representing the truth.;0;0
312;32;Verbose;using or expressed in more words than are needed.;0;0
313;32;Viable;practical or workable; capable of maintaining life;0;0
314;32;Viscous;having a thick, sticky consistency between solid and liquid; having a high viscosity.;0;0
315;32;Vituperative;marked by harsh insulting language;0;0
316;32;Volatile;liable to change rapidly and unpredictably, especially for the worse.;0;0
317;32;Warrant;justify or necessitate (a course of action).;0;0
318;32;Wary;feeling or showing caution about possible dangers or problems.;0;0
319;32;Welter;a large number of items in no order; a confused mass.;0;0
320;32;Whimsical;playfully quaint or fanciful, especially in an appealing and amusing way.;0;0
321;32;Zealot;person who shows excessive zeal;0;0
